# Codage des types d'observation clinique. Cle: type_name. status: proposed|validated.
# Codes LOINC/SNOMED prerremplis (status=proposed) -> A VALIDER avant passage a validated.
type_name;loinc;snomed;status
aidsStage;;62479008;proposed
antiTbTreatment;;;proposed
anyCurrentDiseases;;;proposed
anyPriorDiseases;;;proposed
anySecondaryTreatment;;;proposed
arvProphylaxis;;;proposed
arvProphylaxisBenefit;;;proposed
arvTreatmentAdvEffGrd;;;proposed
arvTreatmentAdvEffType;;;proposed
arvTreatmentAnyAdverseEffects;;;proposed
arvTreatmentChange;;;proposed
arvTreatmentInitDate;;;proposed
arvTreatmentNew;;;proposed
arvTreatmentRegime;;;proposed
Bacteria;;;proposed
Bacterial Count;;;proposed
BacterioTypeExamens;;;proposed
billingRefNumber;;;proposed
cachexie;;;proposed
CCervCancer;;;proposed
CCrblToxo;;;proposed
CCryptoMen;;;proposed
cd4Count;24467-3;;proposed
cd4Percent;8123-2;;proposed
CDiarrheaC;;;proposed
CGenPrurigo;;;proposed
CIST;;;proposed
CKaposiSarc;;109385007;proposed
CLINICAL_INFOS;;;proposed
CLINICAL_INFOS_OTHER;;;proposed
clinicVisits;;;proposed
colLeucore;;;proposed
ColTests;;;proposed
COpharCand;;79740000;proposed
cotrimoxazoleTreatAdvEffGrd;;;proposed
cotrimoxazoleTreatAdvEffType;;;proposed
cotrimoxazoleTreatAnyAdvEff;;;proposed
cotrimoxazoleTreatment;;;proposed
cough;;49727002;proposed
cryptoMen;;;proposed
CShingles;;4740000;proposed
CTBExpul;;;proposed
CTBPul;;;proposed
Culture;;;proposed
CultureCol;;;proposed
CURR_ATB;;;proposed
CURR_ATB_DUR;;;proposed
CURR_ATB_LIST;;;proposed
currentARVTreatment;;;proposed
currentARVTreatmentINNs;;;proposed
currentDiseases;;;proposed
currentHospitalization;;;proposed
currentOITreatment;;;proposed
curvixC;;;proposed
demandcd4Count;24467-3;;proposed
demandcd4Date;;;proposed
demandcd4Percent;8123-2;;proposed
dermPruip;;;proposed
diarrhea;;62315008;proposed
educationLevel;;;proposed
eidHowChildFed;;;proposed
eidInfantCotrimoxazole;;;proposed
eidInfantPTME;;;proposed
eidInfantsARV;;;proposed
eidInfantSymptomatic;;;proposed
eidMothersARV;;;proposed
eidMothersHIVStatus;;;proposed
eidStoppedBreastfeeding;;;proposed
eidTypeOfClinic;;;proposed
eidTypeOfClinicOther;;;proposed
EPIDEMIO_WEEK;;;proposed
expulTB;;;proposed
fever;;386661006;proposed
futureARVTreatmentINNs;;;proposed
Germ Identification;;;proposed
herpes;;;proposed
HIVDement;;;proposed
hivStatus;;;proposed
HOSP_3M;;;proposed
HOSP_3M_COUNT;;;proposed
hospital;;;proposed
hospitalPatient;;;proposed
hpvSamplingMethod;;;proposed
indFirstTestDate;;;proposed
indFirstTestName;;;proposed
indFirstTestResult;;;proposed
indSecondTestDate;;;proposed
indSecondTestName;;;proposed
indSecondTestResult;;;proposed
indSiteFinalResult;;;proposed
INDWELLING_DEVICES;;;proposed
initcd4Count;24467-3;;proposed
initcd4Date;;;proposed
initcd4Percent;8123-2;;proposed
initialSampleCondition;;;proposed
interruptedARVTreatment;;;proposed
INVASIVE_GESTURE;;;proposed
karnofskyScore;89247-1;;proposed
legalResidence;;;proposed
maritalStatus;;;proposed
matHIV;;;proposed
nameOfDoctor;;;proposed
nameOfRequestor;;;proposed
nameOfSampler;;;proposed
nationality;;;proposed
nextVisitDate;;;proposed
otherSecondaryOrderType;;;proposed
PatientRecordStatus;;;proposed
patientWeight;29463-7;;proposed
paymentStatus;;;proposed
PCervCancer;;;proposed
PCrblToxo;;;proposed
PCryptoMen;;;proposed
PDiarrheaC;;;proposed
PGenPrurigo;;;proposed
PIST;;;proposed
PKaposiSarc;;109385007;proposed
POpharCand;;79740000;proposed
Pregnancy;;77386006;proposed
PrescriptionType;;;proposed
            Order;;;proposed
PREV3M_ATB;;;proposed
PREV3M_ATB_LIST;;;proposed
primaryOrderType;;;proposed
priorARVTreatment;;;proposed
priorARVTreatmentINNs;;;proposed
priorCd4Date;;;proposed
priorDiseases;;;proposed
priorVLDate;;;proposed
priorVLLab;;;proposed
priorVLValue;;;proposed
program;;;proposed
projectFormName;;;proposed
PShingles;;4740000;proposed
PTBExpul;;;proposed
PTBPul;;;proposed
pulTB;;;proposed
reason;;;proposed
reasonForSecondPCRTest;;;proposed
recInfect;;;proposed
recPneumon;;;proposed
referringSite;;;proposed
requestDate;;;proposed
roomNumber;;;proposed
sampleInterpretation;;;proposed
sampleNature;;;proposed
SampleRecordStatus;;;proposed
sarcKapo;;109385007;proposed
secondaryOrderType;;;proposed
secondaryTreatment;;;proposed
service;;;proposed
sespis;;;proposed
Statut;;;proposed
swallPaint;;;proposed
TbAnalysisMethod;;;proposed
TbDiagnosticReason;;;proposed
TbFollowupReason;;;proposed
TbFollowupReasonPeriodLine1;;;proposed
TbFollowupReasonPeriodLine2;;;proposed
TbOrderReason;;;proposed
TbSampleAspects;;;proposed
TbSpecimenState;;;proposed
thrush;;79740000;proposed
underInvestigation;;;proposed
uretreAspect;;;proposed
Urgence;;;proposed
vaginalAbondance;;;proposed
vaginalAspect;;;proposed
vaginalAutre;;;proposed
vaginalCouleur;;;proposed
vlBenefit;;;proposed
vlOtherReasonForRequest;;;proposed
vlPregnancy;;77386006;proposed
vlReasonForRequest;;;proposed
vlSuckle;;;proposed
weightLoss;;89362005;proposed
whichPCR;;;proposed
xIngPadenp;;;proposed
zona;;4740000;proposed
